,city,Lat,lon,max temp,Humidity,Cloudiness,wind speed,country,date
32,Port Macquarie,-31.4333,152.9167,70.39,78,100,9.93,AU,1583625600
33,Port Lincoln,-34.7333,135.8667,65.68,71,50,13.62,AU,1583625600
34,Castro,-24.7911,-50.0119,61.54,80,64,8.14,BR,1583625600
35,Nishihara,26.1842,127.7558,68.63,85,95,14.97,JP,1583625600
36,Santa Maria,-29.6842,-53.8069,74.91,50,21,7.0,BR,1583625600
37,Caceres,39.522,-6.3748,46.62,80,0,2.86,ES,1583625600
38,Albany,42.6001,-73.9662,29.34,67,0,10.8,US,1583625600
39,Turukhansk,65.8167,87.9833,-1.32,93,100,14.2,RU,1583625600
40,Pevek,69.7008,170.3133,-10.5,94,0,7.02,RU,1583625600
41,Severo-Kuril'sk,50.6789,156.125,22.42,82,68,9.17,RU,1583625600
42,Ukiah,39.1502,-123.2078,49.8,57,80,4.34,US,1583625600
43,Mar del Plata,-38.0023,-57.5575,78.03,59,100,19.95,AR,1583625600
44,Mataura,-46.1927,168.8643,59.67,89,100,6.31,NZ,1583625600
45,Mahébourg,-20.4081,57.7,77.76,91,90,11.07,MU,1583625600
46,Soe,-9.8607,124.284,78.58,84,100,1.72,ID,1583625600
47,Udachny,66.4167,112.4,-33.99,97,41,9.35,RU,1583625600
48,Aden,12.7794,45.0367,75.88,74,58,7.67,YE,1583625600
49,Yambio,4.5721,28.3955,78.98,39,73,4.34,SS,1583625600
50,Butaritari,3.0707,172.7902,84.49,74,100,11.48,KI,1583625600
51,Stepnyak,52.8339,70.7803,22.98,52,100,22.53,KZ,1583625600
52,Beyneu,45.3167,55.2,33.15,61,0,17.9,KZ,1583625600
53,Hermanus,-34.4187,19.2345,66.88,91,78,2.84,ZA,1583625600
54,Lorengau,-2.0226,147.2712,84.76,74,100,8.59,PG,1583625600
55,Putyatino,54.16,41.1169,42.51,90,98,10.33,RU,1583625600
56,Bozeman,45.6796,-111.0386,50.16,63,70,7.87,US,1583625600
57,Tasiilaq,65.6145,-37.6368,20.59,55,100,4.43,GL,1583625600
58,Hilo,19.7297,-155.09,68.25,78,87,14.47,US,1583625600
59,Norman Wells,65.282,-126.8329,-2.36,89,100,6.91,CA,1583625600
60,Altamira,-3.2033,-52.2064,80.73,98,100,6.35,BR,1583625600
61,Grand Gaube,-20.0064,57.6608,79.86,84,23,17.94,MU,1583625600
62,Tromsø,69.6496,18.957,30.36,72,44,7.99,NO,1583625600
63,Mlonggo,-6.5333,110.7,82.08,73,100,9.51,ID,1583625600
64,Cidreira,-30.1811,-50.2056,73.33,80,43,23.91,BR,1583625600
65,Camaná,-16.6228,-72.7111,67.15,82,75,4.07,PE,1583625600
66,Surskoye,54.4821,46.7214,35.67,79,100,15.08,RU,1583625600
67,Upernavik,72.7868,-56.1549,-14.6,95,100,6.67,GL,1583625600
68,Atuona,-9.8,-139.0333,81.81,66,0,7.81,PF,1583625600
69,Avarua,-21.2078,-159.775,81.99,79,100,13.78,CK,1583625600
70,Alenquer,-1.9417,-54.7383,75.81,94,92,3.62,BR,1583625600
71,Cape Town,-33.9258,18.4232,68.41,77,85,5.64,ZA,1583625600
72,Bathsheba,13.2167,-59.5167,79.12,76,6,15.86,BB,1583625600
73,Kirakira,-10.4544,161.9205,84.34,68,100,5.57,SB,1583625600
74,Acaraú,-2.8856,-40.12,76.6,93,100,2.82,BR,1583625600
75,Pisco,-13.7,-76.2167,69.4,81,43,3.65,PE,1583625600
76,Bredasdorp,-34.5322,20.0403,66.38,85,26,1.34,ZA,1583625600
77,Pringsewu,-5.3582,104.9744,72.95,96,100,1.5,ID,1583625600
78,Lüderitz,-26.6481,15.1594,65.25,84,0,10.87,NA,1583625600
79,Longyearbyen,78.2186,15.6401,22.86,95,100,5.64,SJ,1583625600
80,Bambous Virieux,-20.3428,57.7575,80.62,81,92,14.83,MU,1583625600
81,Port Alfred,-33.5906,26.891,74.44,80,13,16.35,ZA,1583625600
82,Labuhan,-6.8844,112.2051,76.87,91,97,4.81,ID,1583625600
83,Tiksi,71.6872,128.8694,-16.11,96,100,4.27,RU,1583625600
84,Qinhuangdao,39.9317,119.5883,38.66,91,56,3.8,CN,1583625600
85,Ostrovnoy,68.0531,39.5131,16.56,92,88,7.65,RU,1583625600
86,Kota Bharu,6.1333,102.2386,75.72,93,58,1.81,MY,1583625600
87,Lavrentiya,65.5833,-171.0,-2.42,89,88,2.26,RU,1583625600
88,Dingle,10.9995,122.6711,79.12,84,100,6.78,PH,1583625600
89,Seoul,37.5683,126.9778,44.65,47,0,1.88,KR,1583625600
90,Qaanaaq,77.484,-69.3632,-23.94,51,74,4.72,GL,1583625600
91,Hobart,-42.8794,147.3294,54.16,69,94,8.66,AU,1583625600
92,El Alto,-4.2714,-81.2147,76.89,76,82,7.94,PE,1583625600
93,Jamestown,42.097,-79.2353,24.24,82,0,2.35,US,1583625600
94,Gavrilov Posad,56.5597,40.1175,40.66,97,100,10.27,RU,1583625600
95,São Filipe,14.8961,-24.4956,70.27,82,3,13.98,CV,1583625600
96,Ketchikan,55.3422,-131.6461,37.02,61,0,2.8,US,1583625600
97,Suoyarvi,62.0833,32.35,27.63,92,100,3.67,RU,1583625600
98,Ancud,-41.8697,-73.8203,54.88,76,51,5.99,CL,1583625600
99,Marfino,55.7028,37.3822,44.73,93,100,7.67,RU,1583625600
100,Kiryat Gat,31.61,34.7642,49.41,71,0,3.22,IL,1583625600
101,Batasan,12.7667,120.7833,74.82,76,44,3.65,PH,1583625600
102,Pacific Grove,36.6177,-121.9166,53.69,76,34,16.13,US,1583625600
103,Saint-Augustin,51.226,-58.6502,21.33,68,2,18.23,CA,1583625600
104,Tuktoyaktuk,69.4541,-133.0374,-3.46,82,100,10.71,CA,1583625600
105,Chui,-33.6971,-53.4616,68.49,77,9,11.86,UY,1583625600
106,Norrtälje,59.758,18.705,32.11,95,1,5.14,SE,1583625600
107,Carnarvon,-24.8667,113.6333,74.43,79,0,21.88,AU,1583625600
108,Eenhana,-17.4667,16.3333,70.86,76,37,6.71,NA,1583625600
109,Raudeberg,61.9875,5.1352,42.89,83,100,30.65,NO,1583625600
110,Chara,56.9064,118.2631,-6.95,67,92,0.89,RU,1583625600
111,Westport,41.1415,-73.3579,40.53,49,0,10.67,US,1583625600
112,Pahrump,36.2083,-115.9839,65.5,29,79,10.89,US,1583625600
113,George Town,5.4112,100.3354,80.01,89,90,2.51,MY,1583625600
114,Igarka,67.4667,86.5833,-4.94,96,100,13.98,RU,1583625600
115,Araouane,18.9048,-3.5265,77.16,6,51,6.42,ML,1583625600
116,Kaitangata,-46.2817,169.8464,54.95,94,100,15.39,NZ,1583625600
117,Kānt,27.8,79.8,57.88,70,0,4.83,IN,1583625600
118,Bengkulu,-3.8004,102.2655,75.0,81,100,3.91,ID,1583625600
119,São José da Coroa Grande,-8.8978,-35.1478,82.85,74,100,12.73,BR,1583625600
120,Maragogi,-9.0122,-35.2225,82.85,74,100,12.73,BR,1583625600
121,Mil'kovo,54.7167,158.6167,16.41,76,0,1.7,RU,1583625600
122,Vangaindrano,-23.35,47.6,71.4,96,92,6.87,MG,1583625600
123,Adjumani,3.3779,31.7909,80.47,44,87,2.37,UG,1583625600
124,Keningau,5.3378,116.1602,76.89,83,98,2.24,MY,1583625600
125,Mossamedes,-15.1961,12.1522,77.05,79,0,6.17,AO,1583625600
126,Port Hardy,50.6996,-127.4199,38.28,89,100,2.51,CA,1583625600
127,Bluff,-46.6,168.3333,59.31,93,100,7.49,NZ,1583625600
128,Kieta,-6.2167,155.6333,86.0,67,100,6.42,PG,1583625600
129,Iquitos,-3.7481,-73.2472,78.17,96,78,3.13,PE,1583625600
130,Yantal',56.8471,105.2542,-7.96,96,100,7.47,RU,1583625600
131,Baijiantan,45.6333,85.1833,21.61,25,0,16.22,CN,1583625600
132,Urusha,54.05,122.9,9.57,72,50,8.05,RU,1583625600
133,Fare,-16.7,-151.0167,83.73,70,98,6.76,PF,1583625600
134,Fairbanks,64.8378,-147.7164,14.45,92,100,2.39,US,1583625600
135,Gorontalo,0.5412,123.0595,78.75,85,100,2.51,ID,1583625600
136,Narsaq,60.9167,-46.05,26.01,81,82,0.13,GL,1583625600
137,Faanui,-16.4833,-151.75,83.35,71,91,4.97,PF,1583625600
138,Kavieng,-2.5744,150.7967,85.69,69,100,7.09,PG,1583625600
139,Zhuhai,22.2769,113.5678,71.13,88,76,6.64,CN,1583625600
140,Mount Gambier,-37.8333,140.7667,62.55,74,96,9.51,AU,1583625600
141,Constitución,-35.3333,-72.4167,54.68,84,10,8.43,CL,1583625600
142,Port Elizabeth,-33.918,25.5701,70.74,79,34,16.58,ZA,1583625600
143,Nanortalik,60.1432,-45.2371,23.68,71,0,19.39,GL,1583625600
144,Atar,20.5169,-13.0499,71.47,15,95,6.06,MR,1583625600
145,Petropavlovsk-Kamchatskiy,53.0452,158.6483,18.91,74,0,10.58,RU,1583625600
146,Lodja,-3.4833,23.4333,71.78,92,79,1.83,CD,1583625600
147,Khatanga,71.9667,102.5,-35.41,99,26,1.79,RU,1583625600
148,Sibolga,1.7427,98.7792,73.11,90,99,2.66,ID,1583625600
149,Blackwater,-23.5833,148.8833,79.54,73,42,15.86,AU,1583625600
150,Berdigestyakh,62.0989,126.6992,-9.8,91,73,9.19,RU,1583625600
151,Zhangye,38.9342,100.4517,34.16,47,100,10.56,CN,1583625600
152,Rosetta,31.4044,30.4164,59.49,80,0,11.1,EG,1583625600
153,Haines Junction,60.7522,-137.5108,15.91,92,100,3.42,CA,1583625600
154,Safford,32.834,-109.7076,76.44,23,0,15.55,US,1583625600
155,Dakar,14.6937,-17.4441,75.42,66,33,15.46,SN,1583625600
156,Agirish,61.9247,63.0231,26.42,88,70,10.98,RU,1583625600
157,Nikolskoye,59.7035,30.7861,33.17,97,100,5.79,RU,1583625600
158,Coos Bay,43.3665,-124.2179,45.93,84,92,7.43,US,1583625600
159,Batangafo,7.3008,18.2833,82.17,28,55,5.3,CF,1583625600
160,Sangar,63.9242,127.4739,-6.92,95,100,9.48,RU,1583625600
161,Kapit,2.0167,112.9333,74.23,95,100,0.76,MY,1583625600
162,Bandarbeyla,9.4942,50.8122,77.14,75,4,10.27,SO,1583625600
163,Bad Wörishofen,48.0167,10.6,31.71,93,20,5.97,DE,1583625600
164,Riyadh,24.6877,46.7219,61.99,28,0,7.54,SA,1583625600
165,Talaya,61.3833,152.75,-3.91,67,0,3.96,RU,1583625600
166,Vila Franca do Campo,37.7167,-25.4333,63.41,89,94,14.41,PT,1583625600
167,Ikornnes,62.3873,6.557,40.84,74,100,16.89,NO,1583625600
168,Teya,60.3778,92.6267,0.72,92,100,12.19,RU,1583625600
169,East London,-33.0153,27.9116,74.86,80,0,20.62,ZA,1583625600
170,Obo,5.3998,26.4869,69.69,63,83,2.06,CF,1583625600
171,Vardø,70.3705,31.1107,30.58,77,37,8.46,NO,1583625600
172,San Cristobal,7.7669,-72.225,78.85,90,81,0.31,VE,1583625600
173,Hofn,64.2539,-15.2082,36.64,78,100,40.62,IS,1583625600
174,Åmot,59.5714,7.9877,31.78,98,100,5.97,NO,1583625600
175,Ladispoli,41.9537,12.0735,45.57,75,67,13.58,IT,1583625600
176,Sinegor'ye,62.0788,150.477,-3.37,71,6,2.53,RU,1583625600
177,Sharjah city,25.3573,55.4033,72.99,55,0,7.67,AE,1583625600
178,Rundu,-17.9333,19.7667,68.32,87,0,3.29,NA,1583625600
179,Hong Kong,22.2855,114.1577,70.99,88,37,3.98,HK,1583625600
180,Omboué,-1.5746,9.2618,73.08,86,100,1.39,GA,1583625600
181,Brigantine,39.4101,-74.3646,36.9,49,0,6.76,US,1583625600
182,Bekovo,52.4663,43.712,37.18,89,99,13.04,RU,1583625600
183,Yellowknife,62.456,-114.3525,-4.63,87,0,11.61,CA,1583625600
184,Basoko,1.2391,23.616,76.17,82,14,2.93,CD,1583625600
185,Cabedelo,-6.9811,-34.8339,82.33,85,99,8.39,BR,1583625600
186,Necochea,-38.5473,-58.7368,69.06,78,99,14.27,AR,1583625600
187,Togur,58.3631,82.8265,22.68,89,100,14.54,RU,1583625600
188,Diego de Almagro,-26.3667,-70.05,63.66,59,0,2.64,CL,1583625600
189,Katsuura,35.1333,140.3,53.2,87,100,15.3,JP,1583625600
190,Mehamn,71.0357,27.8492,27.27,79,90,7.43,NO,1583625600
191,Bay Roberts,47.5999,-53.2648,25.05,93,100,15.1,CA,1583625600
192,Itarema,-2.9248,-39.9167,76.32,91,78,2.24,BR,1583625600
193,Plouzané,48.3833,-4.6167,51.01,84,99,27.0,FR,1583625600
194,Borgo San Lorenzo,43.9553,11.3835,42.49,93,54,5.75,IT,1583625600
195,Tilichiki,60.4667,166.1,3.76,85,0,4.23,RU,1583625600
196,Yangi Marg`ilon,40.4272,71.7189,38.91,66,82,3.33,UZ,1583625600
197,Guerrero Negro,27.9769,-114.0611,63.52,66,100,13.33,MX,1583625600
198,Havre-St-Pierre,50.2334,-63.5986,22.78,62,0,13.62,CA,1583625600
199,Ribeira Grande,38.5167,-28.7,59.11,91,96,2.89,PT,1583625600
200,Bereslavka,48.6254,44.0449,40.66,69,97,12.75,RU,1583625600
201,Kununurra,-15.7667,128.7333,87.64,41,76,10.67,AU,1583625600
202,Thompson,55.7435,-97.8558,-8.86,88,100,8.99,CA,1583625600
203,Saint George,37.1041,-113.5841,67.75,23,77,18.03,US,1583625600
204,Pilar,-9.5972,-35.9567,77.67,79,97,4.03,BR,1583625600
205,Ginda,30.6945,78.4932,38.68,79,1,5.3,IN,1583625600
206,Geraldton,-28.7667,114.6,71.76,75,63,13.82,AU,1583625600
207,Puerto Cabezas,14.0351,-83.3888,77.16,74,0,6.35,NI,1583625600
208,Bethel,41.3712,-73.414,32.99,62,0,6.44,US,1583625600
209,Tura,25.5198,90.2201,64.2,90,76,6.67,IN,1583625600
210,Iqaluit,63.7506,-68.5145,5.52,83,100,15.12,CA,1583625600
211,Artvin Province,41.1667,41.8333,44.6,68,4,2.95,TR,1583625600
212,Te Anau,-45.4167,167.7167,54.32,97,100,4.97,NZ,1583625600
213,Los Llanos de Aridane,28.6585,-17.9182,65.89,70,5,7.14,ES,1583625600
214,Kaa-Khem,51.6833,94.7333,-14.91,76,15,3.44,RU,1583625600
215,Cabo San Lucas,22.8909,-109.9124,72.39,47,100,13.29,MX,1583625600
216,Grand-Santi,4.25,-54.3833,76.35,75,88,4.99,GF,1583625600
217,Sept-Îles,50.2001,-66.3821,25.43,78,17,13.15,CA,1583625600
218,Zliten,32.4674,14.5687,55.02,60,1,10.49,LY,1583625600
219,Ust-Kuyga,70.0167,135.6,5.47,95,100,1.59,RU,1583625600
220,Teknāf,20.8624,92.3058,59.16,92,0,1.25,BD,1583625600
221,Chokwé,-24.5333,32.9833,68.92,93,43,4.23,MZ,1583625600
222,Nuuk,64.1835,-51.7216,10.29,84,85,9.71,GL,1583625600
223,Maniitsoq,65.4167,-52.9,7.5,79,95,5.7,GL,1583625600
224,Prestea,5.4327,-2.1428,76.14,96,75,3.18,GH,1583625600
225,Shugurovo,54.5083,52.1326,26.08,80,100,15.19,RU,1583625600
226,Ziro,27.6333,93.8333,49.51,98,76,0.85,IN,1583625600
227,Klaksvík,62.2266,-6.589,43.83,85,82,14.27,FO,1583625600
228,Erenhot,43.6475,111.9767,35.1,42,100,7.81,CN,1583625600
229,Saint-Ambroise,48.5501,-71.3324,10.81,85,42,4.14,CA,1583625600
230,Amod,21.9833,72.9,58.96,42,0,4.25,IN,1583625600
231,Nome,64.5011,-165.4064,10.02,93,83,0.89,US,1583625600
232,Collie,-33.3667,116.15,69.87,69,17,8.1,AU,1583625600
233,Bulasa,9.9321,123.618,82.17,80,100,5.93,PH,1583625600
234,Pavlohrad,48.5167,35.8667,46.24,82,1,8.59,UA,1583625600
235,Tres Arroyos,-38.3739,-60.2798,67.8,56,82,9.46,AR,1583625600
236,Sitka,57.0531,-135.33,38.25,61,36,8.75,US,1583625600
237,Orapa,-21.2833,25.3667,64.99,72,0,8.21,BW,1583625600
238,Villazón,-22.0866,-65.5942,56.79,57,34,10.89,BO,1583625600
239,Boa Vista,2.8197,-60.6733,87.39,39,4,13.49,BR,1583625600
240,Adrar,20.5022,-10.0711,73.53,14,81,8.43,MR,1583625600
241,Libreville,0.3925,9.4537,79.14,90,100,6.44,GA,1583625600
242,Safi,32.2994,-9.2372,50.54,83,0,13.78,MA,1583625600
243,San Patricio,19.2167,-104.7,81.81,76,79,12.46,MX,1583625600
244,Sakakah,29.9697,40.2064,55.92,61,0,9.46,SA,1583625600
245,Goderich,43.7501,-81.7165,31.48,64,13,10.98,CA,1583625600
246,Abu Samrah,35.3029,37.1841,51.37,78,0,6.33,SY,1583625600
247,Kupang,-10.1667,123.5833,81.57,79,100,9.15,ID,1583625600
248,Ibrā’,22.6906,58.5334,61.39,47,0,0.25,OM,1583625600
249,Iranshahr,27.2025,60.6848,61.65,23,0,3.38,IR,1583625600
250,Kudahuvadhoo,2.6708,72.8944,82.62,63,3,4.36,MV,1583625600
251,Isangel,-19.55,169.2667,83.88,82,61,12.41,VU,1583625600
252,Mahanoro,-19.9,48.8,80.65,83,86,18.72,MG,1583625600
253,Kingman,35.1894,-114.053,69.24,29,31,21.25,US,1583625600
254,Harper,4.375,-7.7169,77.5,92,84,1.81,LR,1583625600
255,Samarai,-10.6167,150.6667,89.42,55,100,2.37,PG,1583625600
256,Zhalantun,48.0,122.7167,22.71,85,100,5.55,CN,1583625600
257,Malinovoye Ozero,51.6753,79.7825,9.93,71,100,17.56,RU,1583625600
258,Shebunino,46.4339,141.8603,32.22,98,100,10.54,RU,1583625600
259,Parabel',58.6978,81.4825,26.76,95,99,12.39,RU,1583625600
260,Dębica,50.0515,21.4114,37.24,88,94,13.44,PL,1583625600
261,Camacha,33.0833,-16.3333,62.29,81,100,18.07,PT,1583625600
262,Savannah Bight,16.45,-85.85,79.59,71,13,5.1,HN,1583625600
263,Sørland,67.667,12.6934,39.88,63,56,10.47,NO,1583625600
264,Saint-Philippe,-21.3585,55.7679,79.88,81,88,14.74,RE,1583625600
265,Saint Paul Harbor,57.79,-152.4072,36.91,76,98,4.0,US,1583625600
266,Celestún,20.8667,-90.4,71.64,74,48,25.88,MX,1583625600
267,Hambantota,6.1241,81.1185,78.26,82,3,11.05,LK,1583625600
268,Salalah,17.0151,54.0924,64.96,79,9,3.94,OM,1583625600
269,Rehlingen-Siersburg,49.3667,6.6833,41.76,85,99,7.31,DE,1583625600
270,Srandakan,-7.9386,110.2506,75.65,82,100,2.64,ID,1583625600
271,Kutum,14.2,24.6667,64.98,18,72,5.86,SD,1583625600
272,Saskylakh,71.9167,114.0833,-39.44,95,26,7.63,RU,1583625600
273,Ţahţā,26.7693,31.5021,58.8,36,0,7.16,EG,1583625600
274,Gemeente Venray,51.5167,5.9667,45.57,83,99,14.03,NL,1583625600
275,Shubarshi,48.5872,57.1869,16.74,54,41,11.39,KZ,1583625600
276,Belogorsk,50.9158,128.4611,18.46,94,100,8.39,RU,1583625600
277,Dikson,73.5069,80.5464,-18.92,74,82,4.9,RU,1583625600
278,Bahía Blanca,-38.7196,-62.2724,69.04,46,90,12.62,AR,1583625600
279,Āsosa,10.0667,34.5333,78.37,17,1,9.19,ET,1583625600
280,Āwash,8.9833,40.1667,72.7,49,48,3.56,ET,1583625600
281,Varhaug,58.6147,5.6457,43.47,95,100,29.15,NO,1583625600
282,Laguna,38.421,-121.4238,52.66,77,93,4.74,US,1583625600
283,Conakry,9.538,-13.6773,80.89,81,44,5.08,GN,1583625600
284,Flagstaff,35.1981,-111.6513,53.53,45,4,27.51,US,1583625600
285,Voh,-20.9667,164.7,82.0,74,96,4.5,NC,1583625600
286,Lagoa,39.05,-27.9833,59.92,78,79,6.96,PT,1583625600
287,Bilibino,68.0546,166.4372,-9.71,83,20,2.19,RU,1583625600
288,Epe,6.5841,3.9834,82.08,84,11,9.01,NG,1583625600
289,Valparaíso,-33.0393,-71.6273,58.1,88,0,4.41,CL,1583625600
290,Clyde River,70.4692,-68.5914,-21.98,96,100,7.85,CA,1583625600
291,Pangnirtung,66.1451,-65.7125,-7.76,95,100,10.67,CA,1583625600
292,Ola,59.5833,151.2833,-1.21,92,100,1.01,RU,1583625600
293,Shingū,33.7333,135.9833,55.13,94,100,34.36,JP,1583625600
294,Talara,-4.5772,-81.2719,78.91,84,100,4.79,PE,1583625600
295,Arlit,18.7369,7.3853,77.11,8,0,5.82,NE,1583625600
296,Djibo,14.1022,-1.6306,77.09,7,0,5.7,BF,1583625600
297,Puerto Ayora,-0.7393,-90.3518,82.33,79,6,1.59,EC,1583625600
298,Coquimbo,-29.9533,-71.3436,67.59,89,1,1.34,CL,1583625600
299,Aklavik,68.2191,-135.0107,-1.25,87,100,8.52,CA,1583625600
300,Faya,18.3851,42.4509,55.47,55,0,2.21,SA,1583625600
301,Port Pirie,-33.1833,138.0167,74.28,39,69,5.7,AU,1583625600
302,Esperance,-33.8667,121.9,67.44,77,100,15.17,AU,1583625600
303,Pontiac,42.6389,-83.2911,36.5,58,0,9.57,US,1583625600
304,Kralendijk,12.15,-68.2667,81.43,81,6,16.02,BQ,1583625600
305,Kruisfontein,-34.0033,24.7314,67.03,82,20,6.55,ZA,1583625600
306,Menongue,-14.6585,17.691,61.14,87,3,4.63,AO,1583625600
307,Moose Factory,51.2585,-80.6094,14.5,97,100,23.64,CA,1583625600
308,San Bartolomé de Tirajana,27.9248,-15.5733,62.78,83,40,14.05,ES,1583625600
309,Batagay-Alyta,67.8006,130.4114,-4.83,98,100,2.91,RU,1583625600
310,Sistranda,63.7256,8.834,35.24,82,100,11.83,NO,1583625600
311,Dudinka,69.4058,86.1778,-2.87,97,100,9.4,RU,1583625600
312,Ponta Delgada,37.7333,-25.6667,63.39,89,93,14.09,PT,1583625600
313,Chokurdakh,70.6333,147.9167,-4.77,85,100,4.16,RU,1583625600
314,Hue,16.4667,107.6,75.67,72,51,4.97,VN,1583625600
315,Conceição do Rio Verde,-21.8808,-45.0853,60.94,93,2,2.37,BR,1583625600
316,Ust-Tsilma,65.441,52.1498,25.12,92,99,7.61,RU,1583625600
317,Kushima,31.4583,131.2333,55.0,82,1,5.32,JP,1583625600
318,Kyabé,9.4515,18.9449,83.17,17,87,0.87,TD,1583625600
319,Coari,-4.085,-63.1414,76.23,98,100,3.91,BR,1583625600
320,Bonthe,7.5264,-12.505,79.93,88,9,5.93,SL,1583625600
321,Owando,-0.4819,15.8999,69.82,97,100,2.1,CG,1583625600
322,Yuli,9.6989,10.2744,79.12,13,53,5.75,NG,1583625600
323,Bukama,-9.2,25.85,70.92,98,100,2.55,CD,1583625600
324,Souillac,-20.5167,57.5167,77.45,91,83,10.02,MU,1583625600
325,Padang,-0.9492,100.3543,69.03,88,100,3.24,ID,1583625600
326,Kapuskasing,49.4169,-82.4331,36.9,97,100,6.67,CA,1583625600
327,Port Moresby,-9.4431,147.1797,84.07,73,100,10.31,PG,1583625600
328,Bairiki Village,1.3292,172.9752,87.42,76,64,11.95,KI,1583625600
329,Strezhevoy,60.7333,77.5889,32.45,95,99,14.61,RU,1583625600
330,Mount Isa,-20.7333,139.5,81.86,41,1,15.93,AU,1583625600
331,Río Gallegos,-51.6226,-69.2181,56.39,60,88,52.19,AR,1583625600
332,Price,39.5994,-110.8107,52.09,57,91,11.12,US,1583625600
333,Ugoofaaru,5.6667,73.0,82.83,70,10,6.53,MV,1583625600
334,Ishigaki,24.3448,124.1572,70.92,86,82,14.34,JP,1583625600
335,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,51.13,79,100,10.29,IR,1583625600
336,Lata,40.1629,-8.3327,45.59,95,0,2.73,PT,1583625600
337,San Fernando del Valle de Catamarca,-28.4696,-65.7852,80.62,72,45,4.94,AR,1583625600
338,Codrington,-38.2667,141.9667,61.14,83,55,11.77,AU,1583625600
339,Palm Beach Gardens,26.8234,-80.1386,67.32,69,100,23.71,US,1583625600
340,Forest,37.3638,-79.2897,36.28,53,0,3.51,US,1583625600
341,Olinda,-8.0089,-34.8553,82.51,75,100,6.29,BR,1583625600
342,La Ronge,55.1001,-105.2842,1.04,92,100,12.03,CA,1583625600
343,Poros,37.4994,23.4536,59.59,79,63,13.51,GR,1583625600
344,Ko Samui,9.5357,99.9357,80.67,76,0,5.68,TH,1583625600
345,Lubango,-14.9172,13.4925,62.64,81,47,2.84,AO,1583625600
346,Banjarmasin,-3.3244,114.591,80.19,83,100,2.33,ID,1583625600
347,Andra,62.5147,65.8878,26.74,86,21,13.35,RU,1583625600
348,Vestmannaeyjar,63.4427,-20.2734,33.4,56,100,7.81,IS,1583625600
349,Wingham,43.8879,-81.3114,30.94,71,31,12.68,CA,1583625600
350,Marawi,7.9986,124.2928,78.3,87,80,1.45,PH,1583625600
351,Sinnamary,5.3833,-52.95,80.2,74,100,19.42,GF,1583625600
352,Ascension,30.2169,-90.9001,57.04,54,99,4.72,US,1583625600
353,Kommunisticheskiy,61.6789,64.4819,27.12,86,49,11.86,RU,1583625600
354,Novooleksiyivka,46.2269,34.6428,47.35,66,0,8.99,UA,1583625600
355,Christchurch,-43.5333,172.6333,73.89,40,62,5.35,NZ,1583625600
356,Pravia,43.4906,-6.1508,43.9,90,0,3.71,ES,1583625600
